neighborhood,api_lon,api_lat
Rancho contento,-103.48431323972353,20.707250369388877
Rancho contento,-103.48422339742623,20.716283144020338
Bosques vallarta,-103.48422339742623,20.716283144020338
Bosques vallarta,-103.48413350701439,20.725315908808394
Base aerea militar no 5,-103.48404356847507,20.734348663749465
Base aerea militar no 5,-103.4839535817953,20.74338140883996
Altus quintas,-103.48359315341244,20.779512290624428
Los manzanos,-103.48359315341244,20.779512290624428
Parque de las aves,-103.48359315341244,20.779512290624428
Los manzanos,-103.48350292583585,20.788544986408223
Parque de las aves,-103.48350292583585,20.788544986408223
Alviento,-103.48350292583585,20.788544986408223
La victorias,-103.48350292583585,20.788544986408223
Al viento ii,-103.48350292583585,20.788544986408223
Hacienda las palomas,-103.48350292583585,20.788544986408223
El humedo de nextipac,-103.48350292583585,20.788544986408223
Las agujas,-103.48350292583585,20.788544986408223
Tesistan,-103.48350292583585,20.788544986408223
El humedo de nextipac,-103.48341265004088,20.797577672319935
Las agujas,-103.48341265004088,20.797577672319935
Los telares,-103.48341265004088,20.797577672319935
Coto san francisco,-103.48341265004088,20.797577672319935
Cristo rey,-103.48341265004088,20.797577672319935
Santa lucia,-103.48341265004088,20.797577672319935
Tesistan,-103.48341265004088,20.797577672319935
Villas de tesistan,-103.48341265004088,20.797577672319935
Martell del valle,-103.48341265004088,20.797577672319935
Roberto orozco,-103.48341265004088,20.797577672319935
Cristo rey,-103.48332232601456,20.806610348355953
Santa lucia,-103.48332232601456,20.806610348355953
Tesistan,-103.48332232601456,20.806610348355953
Villas de tesistan,-103.48332232601456,20.806610348355953
Martell del valle,-103.48332232601456,20.806610348355953
Roberto orozco,-103.48332232601456,20.806610348355953
Tesistan,-103.48332232601456,20.806610348355953
Loma chica,-103.48332232601456,20.806610348355953
La joyita,-103.48332232601456,20.806610348355953
Real de las lomas,-103.48332232601456,20.806610348355953
Praderas de tesistan,-103.48332232601456,20.806610348355953
La cuspide,-103.48332232601456,20.806610348355953
Vistas de tesistan,-103.48332232601456,20.806610348355953
