name	category	category_code	lat	lon	address
Poseidón Fitness Center	Gym and Studio	18021	20.660521	-103.307085	
Tiburon Gym	Gym and Studio	18021	20.662537	-103.307114	
Versus GYM	Gym and Studio	18021	20.659265	-103.306304	Aldama, Guadalajara, Jalisco
HumanisArte	Dance Studio	18025	20.681967	-103.306688	Calle 64 817 (Pto Melaque), Guadalajara, Jalisco
Unlimited Dance Studio	Dance Studio	18025	20.687774	-103.308548	1033 Calle Juan de Dios Robledo (Entre San Pedro y San Pablo), 44719 Guadalajara, Jalisco
Nitró Gym	Gym and Studio	18021	20.686537	-103.308563	Juan de Dios Robledo 986, 45404 Guadalajara, Jalisco
Centro Gimnástico Cervantes	Gym and Studio	18021	20.691275	-103.31185	44350 Guadalajara, Jalisco
Sport Fitness	Gym and Studio	18021	20.691294	-103.31433	44350 Guadalajara, Jalisco
Sport Fit Gym	Gym and Studio	18021	20.697094	-103.313338	Monte La Luna 873 (btw Puerto del Carmen & Puerto Angel), Guadalajara, Jalisco
Ledsmotion	Gym and Studio	18021	20.697327	-103.314028	Monte La Luna 873, 44330 Guadalajara, Jalisco
Walks Academy	Education	12009	20.703741	-103.311507	Guadalajara, Jalisco
Meraki Pole Elite	Gym and Studio	18021	20.704037	-103.310217	854 Calle San Eustaquio, 44330 Guadalajara, Jalisco
Elite Master GYM	Gym and Studio	18021	20.707324	-103.309074	Belisario Dominguez 2807, Guadalajara, Jalisco
Maximum Gym	Gym and Studio	18021	20.706551	-103.308665	Belisario Dominguez 2807, 44300 Guadalajara, Jalisco
Elite Master Gym	Gym and Studio	18021	20.710848	-103.30817	Guadalajara, Jalisco
Academia de Baile Natarasca	Dance Studio	18025	20.713033	-103.312002	Amistad 536 (Montañas Rocallosas), 44300 Guadalajara, Jalisco
King's Gym	Gym and Studio	18021	20.727682	-103.314555	Calzada Independencia N, 44250 Guadalajara, Jalisco
La Paz Gym	Gym and Studio	18021	20.642463	-103.296863	Tlaquepaque, Jalisco
Promotora de Actividades Deportivas Pac	Gym and Studio	18021	20.643544	-103.303473	Avenida Adolfo Lopez Mateos 3333C, Guadalajara, Jalisco
Corpo In Movo	Education	12009	20.639896	-103.302996	Tlaquepaque, Jalisco
Piixel 2.0	Education	12009	20.6455	-103.302243	Jalisco
Poly Gym	Gym and Studio	18021	20.645907	-103.303237	Manuel Rivera Cambas 2735, Guadalajara, Jalisco
Attitude Dance Pole Dance &Fitness	Gym and Studio	18021	20.645125	-103.300141	Guadalajara, Jalisco
Shape Gym	Gym and Studio	18021	20.646253	-103.301065	Guadalajara, Jalisco
Gym Sr	Gym and Studio	18021	20.645091	-103.299303	Río Nilo, Jalisco
Levyfit Gym	Gym and Studio	18021	20.638841	-103.29993	Heliotropo 24 (Hidalgo), 45520 Tlaquepaque, Jalisco
PiiXeL	Dance Studio	18025	20.646682	-103.304973	José María Marroquí (Av. Revolución), Guadalajara, Jalisco
Pixel	Education	12009	20.647345	-103.304518	Avenida Real de los Abetos 787 (Revolución), Guadalajara, Jalisco
N.U.B.A. Yoga	Yoga Studio	18028	20.64549	-103.297773	Lopez de Gomara 1124 (Manuel Rivera Cambas), 44860 Guadalajara, Jalisco
Gimnasio Bulgaria	Gym and Studio	18021	20.636356	-103.30152	Calle Tonala 355 (Don Bosco), 45500 Tlaquepaque, Jalisco
La Paz Gym	Gym and Studio	18021	20.642494	-103.296713	Tlaquepaque, Jalisco
Country Gym	Gym and Studio	18021	20.651839	-103.301671	Avenida del Parque 644 (San Rafael), 44817 Guadalajara, Jalisco
Chivas Gym	Gym and Studio	18021	20.650197	-103.295812	Manuel M. Ponce, Guadalajara, Jalisco
Orozco Chavez Ana Laura	Dance Studio	18025	20.651207	-103.29869	Florencia 2820A, Guadalajara, Jalisco
Gimnasio San Rafael	Gym and Studio	18021	20.653236	-103.297386	Parque San Rafael Medrano (e/ San Jacinto y Manuel M. Ponce), 44810 Guadalajara, Jalisco
Kaal Yoga studio	Yoga Studio	18028	20.655056	-103.300835	Avenida del parque 421 (Entre Medrado y Artes), 44810 Guadalajara, Jalisco
RE9C -Centro de Acondicionamiento Físico y Coaching Personal	Yoga Studio	18028	20.660758	-103.301491	Avenida Gomez Farias 2667B (Calle Secundina Gallo), 44810 Guadalajara, Jalisco
Alvarez Plascencia Rosa Aurora	Gym and Studio	18021	20.660478	-103.301065	Avenida Aurelio Ortega 767, Guadalajara, Jalisco
World sport gym	Gym and Studio	18021	20.674011	-103.305995	Francisco Villa 472, 44730, Guadalajara, Jalisco
Gimnasio Saul Canelo Alvarez	Gym and Studio	18021	20.678098	-103.302281	Jesús Urueta 2281, 44730 Guadalajara, Jalisco
Viper Gym	Gym and Studio	18021	20.6805	-103.296598	Jose Maria Narvaez (San Pablo), Guadalajara, Jalisco
Rene Covarrubias Martinez	Gym and Studio	18021	20.680558	-103.298147	Cll Jose Ma Narvaez 1159, Guadalajara, Jalisco
Smart fit	College Gym	12027	20.687523	-103.29609	44716 Guadalajara, Jalisco
Cross Kingdom Circunvalacion	Gym and Studio	18021	20.688603	-103.301359	Avenida Circunvalación Oblatos 2293 (Artesanos), 44716 Guadalajara, Jalisco
Labans	Dance Studio	18025	20.686508	-103.299754	Francisco Sarabia 1086 (Julián Medinaceli Castillo), 44716 Guadalajara, Jalisco
Gimnasio de Box Olimpica	Gym and Studio	18021	20.685653	-103.299581	
Bio 110 Gym	Gym and Studio	18021	20.689743	-103.299041	Jalisco
Bull Gym	Gym and Studio	18021	20.689871	-103.298899	
FitClub10x	Gym and Studio	18021	20.692526	-103.302852	Hacienda Santiago, 44700 Guadalajara, Jalisco
Fitness 360	Gym and Studio	18021	20.696266	-103.299384	Avenida Juan Pablo II (Hacienda Mochitiltic), Guadalajara, Jalisco
Gimnasio Fitness Evolution	Gym and Studio	18021	20.696156	-103.29927	Calzada Juan Pablo II, 44700 Guadalajara, Jalisco
Yoga	Yoga Studio	18028	20.695276	-103.29799	Hacienda Huescalapa (Hacienda Santiago), 44700 Guadalajara, Jalisco
Body Style Fitness Gym	Gym and Studio	18021	20.693625	-103.296838	Jalisco
Impacto Gym	Gym and Studio	18021	20.706851	-103.297457	Abundancia 1500, Guadalajara, Jalisco
Gym NS	Cycle Studio	18024	20.709629	-103.299514	Guadalajara, Jalisco
Gladiador Club Deportivo	Yoga Studio	18028	20.708848	-103.297452	Rivas Guillén 2656 (Himno), Guadalajara, Jalisco
UP Training & Fitness	Gym and Studio	18021	20.708206	-103.296334	Avenida Artesanos 3639 (Zacarías Rubio y Luis Alcaraz), 44300 Guadalajara, Jalisco
Naff Sport	Gym and Studio	18021	20.704689	-103.295703	Avenida Artesanos, 44700 Guadalajara, Jalisco
Snaff Sport	Gym and Studio	18021	20.704873	-103.295564	44700 Guadalajara, Jalisco
Gym neo spa	Gym and Studio	18021	20.712302	-103.296846	Avenida Artesanos, 44730 Guadalajara, Jalisco
Stayfit Gym	Gym and Studio	18021	20.644496	-103.287056	Avenida Rio Nilo, Guadalajara, Jalisco
Max GYM	Gym and Studio	18021	20.643975	-103.28795	Avenida Rio Nilo, Tlaquepaque, Jalisco
Academia de Danza Olu Ka Hula	Dance Studio	18025	20.644565	-103.290417	Miguel Mondragon 1142 (Rio Nilo), Guadalajara, Jalisco
Botigym	Gym and Studio	18021	20.64557	-103.290705	Marquesa Calderón, 44860 Guadalajara, Jalisco
First Your	Gym and Studio	18021	20.647968	-103.287939	
Eddy's Gym	Gym and Studio	18021	20.652288	-103.293141	Jalisco
Cardio Fitness	Climbing Gym	18023	20.655998	-103.293935	Manuel M. Ponce 374 (Adrian Puga), 44810 Guadalajara, Jalisco
