name	category	category_code	lat	lon	address
ICET Laboratorio de Metabolismo Microbiano	College Lab	12030	20.694466	-103.42124	Zapopan, Jalisco
Aula 114 Icet	College Classroom	12022	20.694539	-103.421055	Zapopan, Jalisco
Laboratorio Orgánica	College Lab	12030	20.694386	-103.421119	Zapopan, Jalisco
Salon 12	College Classroom	12022	20.695358	-103.420505	Edificio Negocios (Patria), Zapopan, Jalisco
Colegio Gregorio Mende	Community College	12048	20.696884	-103.419963	Zapopan, Jalisco
Aula 14 Huma	College Classroom	12022	20.696934	-103.420153	Zapopan, Jalisco
Aula 22 Edificio Negocios	College Classroom	12022	20.696934	-103.420153	Zapopan, Jalisco
Cafetería Humanidades y Negocios	College Cafeteria	12021	20.696865	-103.42016	Avenida Patria 1201, Zapopan, Jalisco
Centro Internacional de Idiomas	College Academic Building	12014	20.696871	-103.419974	Zapopan, Jalisco
Laboratorio de Procesos Biotecnoógicos	College Lab	12030	20.694295	-103.420955	Patria UAG (Pablo Neruda), Zapopan, Jalisco
Sala de Profesores Ilustres UAG	Student Center	12047	20.696943	-103.419828	Zapopan, Jalisco
Laboratorio de investigación y desarrollo WP UAG	College Lab	12030	20.693415	-103.421669	Zapopan, Jalisco
Aula 106	College Classroom	12022	20.694176	-103.420912	Zapopan, Jalisco
Laboratorio Intel Learning Series	College Technology Building	12039	20.693334	-103.421547	Avenida Patria 1201, 45129 Zapopan, Jalisco
Explanada Negocios	College Quad	12033	20.695148	-103.420313	Zapopan, Jalisco
Aula 3 Negocios	College Classroom	12022	20.695236	-103.420265	Zapopan, Jalisco
Escuela de Turismo y Hotelería	College Academic Building	12014	20.693385	-103.421736	Zapopan, Jalisco
Aula 105	College Classroom	12022	20.694116	-103.420832	Guadalajara, Jalisco
Aqui en la Clase Por Pura Morbosidad	College Classroom	12022	20.694324	-103.420801	Zapopan, Jalisco
Laboratorio 28	College Lab	12030	20.694324	-103.420801	Zapopan, Jalisco
Instituto de Ciencias Exactas y Terrestres	College Math Building	12032	20.694225	-103.420875	Av. Patria 1201, 45129 Zapopan, Jalisco
Lhm32A	College Lab	12030	20.693527	-103.421205	Zapopan, Jalisco
Lhm34A	College Lab	12030	20.693489	-103.421205	Zapopan, Jalisco
Aula 12 Icet	College Classroom	12022	20.694386	-103.421119	Zapopan, Jalisco
Instituto Tepeyac Campus Guadalajara	Elementary School	12058	20.707609	-103.423857	Zapopan, Jalisco
Aula 59-60	College Classroom	12022	20.705086	-103.421797	Avenida Universidad ÚNICO UAG (Segundo Piso), Jalisco
Biblioteca Unico Patria	College Library	12031	20.70513	-103.421802	Av. Patria 1501, 45129 Zapopan, Jalisco
Único (ÚNICO Universidad)	Community College	12048	20.70505	-103.421681	Av. Patria 1501, 45116 Zapopan, Jalisco
Laboratorio de Optometría ÚNICO Universidad	College Academic Building	12014	20.704643	-103.421681	Avenida Universidad 700, Zapopan, Jalisco
Corporativo Universitario	College Administrative Building	12015	20.704679	-103.421633	Zapopan, Jalisco
6To Congreso Bqa Unico	College Auditorium	12017	20.705018	-103.421295	avenida universidad, Zapopan, Jalisco
Kid's World Zona Real	Language School	12053	20.721873	-103.423836	Servidor publico, Zapopan, Jalisco
Cumbres Preschool	Student Center	12047	20.720529	-103.424818	Zapopan, Jalisco
Ciateq	College Technology Building	12039	20.720537	-103.423767	Zapopan, Jalisco
Colegio Higland	Education	12009	20.721635	-103.423924	Zapopan, Jalisco
Campo de Pensiones	College Football Field	12026	20.724284	-103.427162	Zapopan, Jalisco
Cendi #1	Education	12009	20.724225	-103.428389	Zapopan, Jalisco
S32 SuBire	College Classroom	12022	20.723193	-103.427943	Zapopan, Jalisco
Aula Magna CSJ	College Administrative Building	12015	20.724184	-103.42406	Zapopan, Jalisco
Libreria CSJ	College Library	12031	20.722532	-103.425452	Zapopan, Jalisco
Instituto Cumbres San Javier	High School	12059	20.723325	-103.424016	Zapopan, Jalisco
Aula Magna CSJ	College Auditorium	12017	20.723878	-103.423846	Zapopan, Jalisco
Biblioteca CSJ	College Library	12031	20.72334	-103.424131	Zapopan, Jalisco
